"Year","Borough","Neighborhood","Total"
19,"MANHATTAN","CHELSEA AND CLINTON",54337.500003
19,"MANHATTAN","LOWER EAST SIDE",42788.46154
19,"MANHATTAN","LOWER MANHATTAN",15469.5895529
19,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",22995.3358229
19,"MANHATTAN","GREENWICH VILLAGE AND SOHO",45225
19,"MANHATTAN","UPPER EAST SIDE",37788.461534
19,"MANHATTAN","UPPER WEST SIDE",64125.1282649
19,"MANHATTAN","CENTRAL HARLEM",63919.999997
19,"MANHATTAN","EAST HARLEM",32250
19,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",56274.509805
19,"STATEN ISLAND","STAPLETON AND ST. GEORGE",38464.925374
19,"STATEN ISLAND","PORT RICHMOND",42645.89552
19,"STATEN ISLAND","SOUTH SHORE",57279.291046
19,"STATEN ISLAND","MID ISLAND",22159.14179
19,"BRONX","HIGH BRIDGE AND MORRISANIA",39543.26923
19,"BRONX","CENTRAL BRONX",62052.94118
19,"BRONX","HUNTS POINT AND MOTT HAVEN",50724.324319
19,"BRONX","BRONX PARK AND FORDHAM",57537.87878
19,"BRONX","SOUTHEAST BRONX",74625
19,"BRONX","KINGSBRIDGE AND RIVERDALE",24667.723879
19,"BRONX","NORTHEAST BRONX",47663.0597099
19,"QUEENS","NORTHWEST QUEENS",111162.624378
19,"QUEENS","SOUTHEAST QUEENS",34283.9552239
19,"BROOKLYN","NORTHWEST BROOKLYN",151985.57692
19,"BROOKLYN","FLATBUSH",92924.86491
19,"BROOKLYN","BOROUGH PARK",86230.76924
19,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",182418.05037
19,"BROOKLYN","EAST NEW YORK AND NEW LOTS",133162.5
19,"BROOKLYN","SOUTHWEST BROOKLYN",29684.888057
19,"BROOKLYN","GREENPOINT",77466.66667
19,"BROOKLYN","CENTRAL BROOKLYN",254022.12389
19,"BROOKLYN","SUNSET PARK",29684.888063
19,"BROOKLYN","SOUTHERN BROOKLYN",69200
19,"BROOKLYN","CANARSIE AND FLATLANDS",33029.6641799
19,"QUEENS","NORTH QUEENS",32611.5671679
19,"QUEENS","NORTHEAST QUEENS",4599.0671639
19,"QUEENS","CENTRAL QUEENS",12124.813433
19,"QUEENS","WEST QUEENS",194464.28571
19,"QUEENS","WEST CENTRAL QUEENS",88825
19,"QUEENS","JAMAICA",129431.578937
19,"QUEENS","SOUTHWEST QUEENS",130835
19,"QUEENS","ROCKAWAYS",13379.104479
20,"MANHATTAN","CHELSEA AND CLINTON",45748.148147
20,"MANHATTAN","LOWER EAST SIDE",77736.84211
20,"MANHATTAN","LOWER MANHATTAN",12559.4491201
20,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",25857.689365
20,"MANHATTAN","GREENWICH VILLAGE AND SOHO",38786.53404
20,"MANHATTAN","UPPER EAST SIDE",58190
20,"MANHATTAN","UPPER WEST SIDE",68969.9573624
20,"MANHATTAN","CENTRAL HARLEM",61013.978497
20,"MANHATTAN","EAST HARLEM",35874.28572
20,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",59733.33334
20,"STATEN ISLAND","STAPLETON AND ST. GEORGE",44327.46748
20,"STATEN ISLAND","PORT RICHMOND",34723.182866
20,"STATEN ISLAND","SOUTH SHORE",46913.23642
20,"STATEN ISLAND","MID ISLAND",19577.9648
20,"BRONX","HIGH BRIDGE AND MORRISANIA",42750
20,"BRONX","CENTRAL BRONX",53731.03448
20,"BRONX","HUNTS POINT AND MOTT HAVEN",46297.674419
20,"BRONX","BRONX PARK AND FORDHAM",56513.33333
20,"BRONX","SOUTHEAST BRONX",84032.926838
20,"BRONX","KINGSBRIDGE AND RIVERDALE",23641.315989
20,"BRONX","NORTHEAST BRONX",49129.609794
20,"QUEENS","NORTHWEST QUEENS",102738.621473
20,"QUEENS","SOUTHEAST QUEENS",24749.502678
20,"BROOKLYN","NORTHWEST BROOKLYN",174533.33333
20,"BROOKLYN","FLATBUSH",90917.207743
20,"BROOKLYN","BOROUGH PARK",103457.142859
20,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",164208.89648
20,"BROOKLYN","EAST NEW YORK AND NEW LOTS",138272
20,"BROOKLYN","SOUTHWEST BROOKLYN",31398.622802
20,"BROOKLYN","GREENPOINT",75828
20,"BROOKLYN","CENTRAL BROOKLYN",294745.90164
20,"BROOKLYN","SUNSET PARK",47600
20,"BROOKLYN","SOUTHERN BROOKLYN",59242.10527
20,"BROOKLYN","CANARSIE AND FLATLANDS",34723.182859
20,"QUEENS","NORTH QUEENS",35831.369547
20,"QUEENS","NORTHEAST QUEENS",4802.1423107
20,"QUEENS","CENTRAL QUEENS",8496.097934
20,"QUEENS","WEST QUEENS",137759.302323
20,"QUEENS","WEST CENTRAL QUEENS",104428.571436
20,"QUEENS","JAMAICA",94819.565221
20,"QUEENS","SOUTHWEST QUEENS",95558.823535
20,"QUEENS","ROCKAWAYS",11820.6579961
